conversation_id_str,full_text,id_str,user_id_str,username,full_text_normalized
1896903951326580745,HSR punya Kuroo kalau genshin punya Bahlil. (habis scroll galeri dan keinget kalau ss dia karena mirip si bahlul) https://t.co/OYxw1n6p91,1897639736598299090,767091939380498432,Castoritce,HSR punya Kuroo kalau genshin punya Bahlil. (habis scroll galeri dan keinget kalau ss dia karena mirip si bahlul) https://t.co/OYxw1n6p91
1897638728010543511,Muka lu lama-lama mirip bahlil. Aneh.,1897638728010543511,1078924220,gondesdiaa,Muka kamu lama-lama mirip bahlil. Aneh.
1897626316708733185,seratussss cie dipopo bahlil,1897638397742666011,1625000845728432130,jiuoreo,seratussss cie dipopo bahlil
1897626316708733185,bahlil akn dtg ke rumah mu utk popo km,1897638311055052912,1625000845728432130,jiuoreo,bahlil akn datang  ke rumah mu untuk  popo kamu
1897630212315377949,boong ntar didatengin bahlil,1897637773810774504,1720355279538356224,yomicil,bohong  nanti  didatengin bahlil
1897636125055029600,Lg bete ada muka bahlil pengen banting bantal,1897636125055029600,713746832,butterc00kies,Lg sebal  ada muka bahlil ingin banting bantal
1897603132311347231,4 kata lucu teknik parkir di gsp,1897635887284175296,1714175110385733632,05ectumsempra,4 kata lucu teknik parkir di gsp
1897634439418819047,Soal Mega Korupsi Pertamina Mukhtarudin Soroti Kinerja Menteri ESDM Sebelum Bahlil Lahadalia Anggota Komisi XII DPR RI Mukhtarudin https://t.co/oZ8bbXmzID #golkarindonesia #golkarsolid #partaigolkar #golkarpedia #bahlillahadalia #mukhtarudin https://t.co/uMceaF1Z6K,1897634439418819047,1593171387057049600,squadgolkar,Soal Mega Korupsi Pertamina Mukhtarudin Soroti Kinerja Menteri ESDM Sebelum Bahlil Lahadalia Anggota Komisi XII DPR RI Mukhtarudin https://t.co/oZ8bbXmzID #golkarindonesia #golkarsolid #partaigolkar #golkarpedia #bahlillahadalia #mukhtarudin https://t.co/uMceaF1Z6K
1897634150523527281,UI Akan Tentukan Nasib Disertasi Bahlil Besok https://t.co/rJbWugQZy2,1897634150523527281,388190238,IDNTimes,UI Akan Tentukan Nasib Disertasi Bahlil Besok https://t.co/rJbWugQZy2
1897557861045330411,akwowkw bahlil ga tuh,1897632042634125326,1637933136989519873,miawteyus,akwowkw bahlil tidak tuh
1897626316708733185,benaaar selamat di mimpi kamu akan dipopo bahlil,1897631332819517765,1625000845728432130,jiuoreo,benaaar selamat di mimpi kamu akan dipopo bahlil
1897631251248382257,New Post: Lulusan Mana? Ini Latar Belakang Pendidikan Menteri ESDM Bahlil Lahadalia https://t.co/UXLh9ch98A Bahlil Lahadalia seorang pengusaha sekaligus politisi Indonesia saat ini menjabat sebagai Menteri Energi dan Sumber Daya Mineral (ESDM) yang dilanti https://t.co/3cnMH1mjHZ,1897631251248382257,1768845184400515072,wartajogja_com,New Post: Lulusan Mana? Ini Latar Belakang Pendidikan Menteri ESDM Bahlil Lahadalia https://t.co/UXLh9ch98A Bahlil Lahadalia seorang pengusaha sekaligus politisi Indonesia saat ini menjabat sebagai Menteri Energi dan Sumber Daya Mineral (ESDM) yang dilanti https://t.co/3cnMH1mjHZ
1897557861045330411,gapapa padahal yang penting ga dikira bahlil,1897630731817365766,1537876151284035585,kzrinji,tidak apa-apa padahal yang penting tidak dikira bahlil
1897338484966482433,Kaga terima ah. Mana mungkin ada tuyul tanpa pemilik... mana mungkin babi ngepet tanpa ada yang jagain lilin! Erick thohir kek.. Boy Thohir... bahlil...JOKOWI... semua harus diklarifikasi peranannya! aliran uang kuadriliun itu keliatan.. harus dilacak!!!,1897628846872297889,1132112437870645248,missdiah2,Kaga terima ah. Mana mungkin ada tuyul tanpa pemilik... mana mungkin babi ngepet tanpa ada yang jagain lilin! Erick thohir kek.. Boy Thohir... bahlil...JOKOWI... semua harus diklarifikasi peranannya! aliran uang kuadriliun itu keliatan.. harus dilacak!!!
1897628833672724886,W mulai meragukan ceritera rang tua terdahulu bahwasanya di bulan ramadhan syaitan dibelenggu.,1897628833672724886,2843606407,beacuan,W mulai meragukan ceritera rang tua terdahulu bahwasanya di bulan ramadhan syaitan dibelenggu.
1897623927234625975,Bahlil.,1897628346382700711,764963250404528128,54MP0_MAIN,Bahlil.
1897628315806060919,gak mau jadi jahat tapi kalo buat si bahlil mari kita ketawain paling kenceng,1897628315806060919,1031903479,answnds,tidak mau jadi jahat tapi kalau  buat si bahlil mari kita ketawain paling kencang 
1897627967406444605,Kalau 1 dan 2 si oke kak ini ribuan aku pernah ngerasain pas bela anak bahlil kapan lalu gila aku tinggal ambil nasi buat makan aja udah puluhan penasaran masuk WAG mereka isinya apa,1897628272923431236,1296736516161454080,BukanOrdalPSSI,Kalau 1 dan 2 si oke kak ini ribuan saya pernah merasakan  pas bela anak bahlil kapan lalu gila saya tinggal ambil nasi buat makan saja  sudah puluhan penasaran masuk WAG mereka isinya apa
1897620768395346096,lunar kalo diwarnain warna agak item juga mirip bahlil ay #NamtanFilm1stFM #น้ำตาลฟิล์ม,1897627110359072792,1844798237162774528,limejerukk,lunar kalau  diwarnain warna agak hitam  juga mirip bahlil ay #NamtanFilm1stFM #น้ำตาลฟิล์ม
1897626316708733185,tebak yg bener dapet popo bahlil https://t.co/4wmPMTRTjU,1897626316708733185,1625000845728432130,jiuoreo,tebak yang  benar  dapat  popo bahlil https://t.co/4wmPMTRTjU
1897571692853248349,Ketikan mu ini disukai bahlil,1897626160672248262,1736924124956790784,kxinara,Ketikan mu ini disukai bahlil
1897625691275055395,lunar emg mirip bahlil sedikit,1897625691275055395,1844798237162774528,limejerukk,lunar memang mirip bahlil sedikit
1897323325938164161,Hibiki lagi ini mah kaya si bahlil,1897625151078031481,251046895,whalehamlux,Hibiki lagi ini mah kaya si bahlil
